trial,n_features,motif,mean_impact,median_impact,std_impact
0,13,Cascade,-4.626548680871534e-06,0.0,5.9217129423230785e-05
0,13,Feedforward Loop,2.103590654153622e-06,5.951151251792908e-07,6.576421452990539e-05
0,13,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
0,13,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
1,13,Cascade,-4.370485732139519e-06,0.0,5.89991960043417e-05
1,13,Feedforward Loop,2.41326734921546e-06,7.936032488942146e-07,6.522145305825983e-05
1,13,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
1,13,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
2,13,Cascade,-1.6622771086220244e-08,0.0,2.3387289879419857e-05
2,13,Feedforward Loop,7.265253056288396e-08,0.0,3.0340561271757313e-05
2,13,Feedback Loop,-2.7412919465590406e-06,-2.379529178142548e-06,2.5602661549995696e-05
2,13,Single Input Module,3.6294248489224734e-06,0.0,6.7290291136665195e-06
3,13,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
3,13,Feedforward Loop,-1.7136162660019803e-07,0.0,1.0263819741298745e-05
3,13,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
3,13,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
4,13,Cascade,-9.252441543124007e-09,0.0,2.336028602920316e-05
4,13,Feedforward Loop,4.1576521998819643e-07,-2.264278009533882e-08,2.9858871090787353e-05
4,13,Feedback Loop,-3.1414987191695858e-06,-1.8831342458724976e-06,2.588153487579123e-05
4,13,Single Input Module,3.5038075807011305e-06,4.7424691729247577e-08,7.0714033514797465e-06
5,13,Cascade,-1.6622771086220244e-08,0.0,2.3387289879419857e-05
5,13,Feedforward Loop,5.374069360816455e-07,0.0,2.7704020201788607e-05
5,13,Feedback Loop,-2.7412919465590406e-06,-2.379529178142548e-06,2.5602661549995696e-05
5,13,Single Input Module,3.6294248489224734e-06,0.0,6.7290291136665195e-06
6,13,Cascade,0.0,0.0,0.0
6,13,Feedforward Loop,0.0,0.0,0.0
6,13,Feedback Loop,0.0,0.0,0.0
6,13,Single Input Module,0.0,0.0,0.0
7,13,Cascade,-4.2783541128180604e-07,0.0,2.932636070029342e-06
7,13,Feedforward Loop,5.976990555282903e-08,0.0,5.4699705959765285e-06
7,13,Feedback Loop,-2.0209699869155886e-07,0.0,2.577247695192294e-06
7,13,Single Input Module,8.746351608458687e-07,0.0,2.5152818092138596e-06
8,13,Cascade,-4.62117292924428e-06,0.0,5.890519281690671e-05
8,13,Feedforward Loop,2.2582608438553927e-06,9.532086551189422e-07,6.568956584270322e-05
8,13,Feedback Loop,1.3045004042961063e-05,-7.450580596923828e-09,5.866886114794187e-05
8,13,Single Input Module,-1.0062972732532003e-05,-1.1774071026593448e-05,4.8466144521132976e-05
9,13,Cascade,7.407088646493075e-09,0.0,1.1504843531441768e-06
9,13,Feedforward Loop,1.5697457974103273e-07,0.0,5.106201948360114e-06
9,13,Feedback Loop,-4.005732652903707e-07,0.0,1.2656485070236205e-06
9,13,Single Input Module,-1.2585523483507773e-07,0.0,9.184602883093301e-07
10,13,Cascade,-4.79802100154881e-06,-1.3809185475111008e-06,5.927352128502657e-05
10,13,Feedforward Loop,2.4735114703623874e-06,1.4808611012995243e-06,6.506164934344051e-05
10,13,Feedback Loop,1.32478394166103e-05,-9.313225746154784e-09,5.8590111461678035e-05
10,13,Single Input Module,-9.060357757227715e-06,-8.810311555862427e-06,4.948418980179196e-05
11,13,Cascade,4.050666585192464e-06,1.5310943126678469e-06,3.418281249538035e-05
11,13,Feedforward Loop,-1.712450904623397e-06,-3.3190008252859116e-07,4.629417548774949e-05
11,13,Feedback Loop,1.6041977451769285e-06,2.9243528842926025e-06,3.31729883425703e-05
11,13,Single Input Module,1.6975519589751082e-06,-1.3457756722345948e-06,2.5977064876973797e-05
12,13,Cascade,0.0,0.0,0.0
12,13,Feedforward Loop,0.0,0.0,0.0
12,13,Feedback Loop,0.0,0.0,0.0
12,13,Single Input Module,0.0,0.0,0.0
13,13,Cascade,-2.549581066374248e-07,0.0,5.652168701636085e-06
13,13,Feedforward Loop,-3.0911057732101974e-07,0.0,9.543208802942989e-06
13,13,Feedback Loop,0.0,0.0,0.0
13,13,Single Input Module,0.0,0.0,0.0
14,13,Cascade,-4.365392191114704e-06,0.0,5.8649384914592896e-05
14,13,Feedforward Loop,2.4278695662371773e-06,9.532086551189422e-07,6.485733707217245e-05
14,13,Feedback Loop,1.3045004042961063e-05,-7.450580596923828e-09,5.866886114794187e-05
14,13,Single Input Module,-1.0062972732532003e-05,-1.1774071026593448e-05,4.8466144521132976e-05
15,13,Cascade,2.061982572891681e-07,1.2852251529693606e-07,7.546860418748783e-06
15,13,Feedforward Loop,-1.5391170527399769e-07,-8.439383236691356e-08,1.0361306421043158e-05
15,13,Feedback Loop,4.144687274539912e-07,-5.505280569195747e-07,8.31994406733574e-06
15,13,Single Input Module,-8.329231658375219e-07,-1.3718381524086e-06,3.109632652975417e-06
16,13,Cascade,0.0,0.0,0.0
16,13,Feedforward Loop,0.0,0.0,0.0
16,13,Feedback Loop,0.0,0.0,0.0
16,13,Single Input Module,0.0,0.0,0.0
17,13,Cascade,2.061982572891681e-07,1.2852251529693606e-07,7.546860418748783e-06
17,13,Feedforward Loop,-1.5391170527399769e-07,-8.439383236691356e-08,1.0361306421043158e-05
17,13,Feedback Loop,4.144687274539912e-07,-5.505280569195747e-07,8.31994406733574e-06
17,13,Single Input Module,-8.329231658375219e-07,-1.3718381524086e-06,3.109632652975417e-06
18,13,Cascade,0.0,0.0,0.0
18,13,Feedforward Loop,0.0,0.0,0.0
18,13,Feedback Loop,0.0,0.0,0.0
18,13,Single Input Module,0.0,0.0,0.0
19,13,Cascade,-4.370485732139519e-06,0.0,5.89991960043417e-05
19,13,Feedforward Loop,2.41326734921546e-06,7.936032488942146e-07,6.522145305825983e-05
19,13,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
19,13,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
20,13,Cascade,-4.2783541128180604e-07,0.0,2.932636070029342e-06
20,13,Feedforward Loop,5.976990555282903e-08,0.0,5.4699705959765285e-06
20,13,Feedback Loop,-2.0209699869155886e-07,0.0,2.577247695192294e-06
20,13,Single Input Module,8.746351608458687e-07,0.0,2.5152818092138596e-06
21,13,Cascade,0.0,0.0,0.0
21,13,Feedforward Loop,0.0,0.0,0.0
21,13,Feedback Loop,0.0,0.0,0.0
21,13,Single Input Module,0.0,0.0,0.0
22,13,Cascade,7.407088646493075e-09,0.0,1.1504843531441768e-06
22,13,Feedforward Loop,1.7382559205407987e-08,0.0,1.819662042678241e-06
22,13,Feedback Loop,-4.005732652903707e-07,0.0,1.2656485070236205e-06
22,13,Single Input Module,-1.2585523483507773e-07,0.0,9.184602883093301e-07
23,13,Cascade,-4.214910204265379e-06,-7.208436727523804e-07,5.8731269133693966e-05
23,13,Feedforward Loop,2.619605548604212e-06,1.8961727619171143e-06,6.755006844874735e-05
23,13,Feedback Loop,1.1506059241512567e-05,3.5213306546211243e-06,5.9872895456568635e-05
23,13,Single Input Module,-7.030039662769174e-06,-8.079223334789276e-06,4.743910164688189e-05
24,13,Cascade,0.0,0.0,0.0
24,13,Feedforward Loop,0.0,0.0,0.0
24,13,Feedback Loop,0.0,0.0,0.0
24,13,Single Input Module,0.0,0.0,0.0
25,13,Cascade,-4.370485732139519e-06,0.0,5.89991960043417e-05
25,13,Feedforward Loop,2.41326734921546e-06,7.936032488942146e-07,6.522145305825983e-05
25,13,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
25,13,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
26,13,Cascade,-4.2783541128180604e-07,0.0,2.932636070029342e-06
26,13,Feedforward Loop,5.976990555282903e-08,0.0,5.4699705959765285e-06
26,13,Feedback Loop,-2.0209699869155886e-07,0.0,2.577247695192294e-06
26,13,Single Input Module,8.746351608458687e-07,0.0,2.5152818092138596e-06
27,13,Cascade,0.0,0.0,0.0
27,13,Feedforward Loop,0.0,0.0,0.0
27,13,Feedback Loop,0.0,0.0,0.0
27,13,Single Input Module,0.0,0.0,0.0
28,13,Cascade,0.0,0.0,0.0
28,13,Feedforward Loop,-3.2582260778895737e-07,0.0,5.88216795473188e-06
28,13,Feedback Loop,0.0,0.0,0.0
28,13,Single Input Module,0.0,0.0,0.0
29,13,Cascade,-4.370485732139519e-06,0.0,5.89991960043417e-05
29,13,Feedforward Loop,2.41326734921546e-06,7.936032488942146e-07,6.522145305825983e-05
29,13,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
29,13,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
30,13,Cascade,-2.549581066374248e-07,0.0,5.652168701636085e-06
30,13,Feedforward Loop,-6.349331851099771e-07,0.0,1.1201384962218354e-05
30,13,Feedback Loop,0.0,0.0,0.0
30,13,Single Input Module,0.0,0.0,0.0
31,13,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
31,13,Feedforward Loop,-1.7136162660019803e-07,0.0,1.0263819741298745e-05
31,13,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
31,13,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
32,13,Cascade,0.0,0.0,0.0
32,13,Feedforward Loop,0.0,0.0,0.0
32,13,Feedback Loop,0.0,0.0,0.0
32,13,Single Input Module,0.0,0.0,0.0
33,13,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
33,13,Feedforward Loop,-1.7136162660019803e-07,0.0,1.0263819741298745e-05
33,13,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
33,13,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
34,13,Cascade,0.0,0.0,0.0
34,13,Feedforward Loop,0.0,0.0,0.0
34,13,Feedback Loop,0.0,0.0,0.0
34,13,Single Input Module,0.0,0.0,0.0
35,13,Cascade,-4.370485732139519e-06,0.0,5.89991960043417e-05
35,13,Feedforward Loop,2.41326734921546e-06,7.936032488942146e-07,6.522145305825983e-05
35,13,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
35,13,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
36,13,Cascade,-2.2847084717847676e-07,1.7785623640520498e-08,8.054112178919328e-06
36,13,Feedforward Loop,-1.1154440910785862e-07,0.0,1.1763914461898843e-05
36,13,Feedback Loop,6.126345531945979e-07,-6.05359673500061e-08,9.12212720564956e-06
36,13,Single Input Module,1.6786511610809932e-07,-3.315508365631104e-07,3.726537716149283e-06
37,13,Cascade,-2.2847084717847676e-07,1.7785623640520498e-08,8.054112178919328e-06
37,13,Feedforward Loop,-1.1154440910785862e-07,0.0,1.1763914461898843e-05
37,13,Feedback Loop,6.126345531945979e-07,-6.05359673500061e-08,9.12212720564956e-06
37,13,Single Input Module,1.6786511610809932e-07,-3.315508365631104e-07,3.726537716149283e-06
38,13,Cascade,0.0,0.0,0.0
38,13,Feedforward Loop,0.0,0.0,0.0
38,13,Feedback Loop,0.0,0.0,0.0
38,13,Single Input Module,0.0,0.0,0.0
39,13,Cascade,2.061982572891681e-07,1.2852251529693606e-07,7.546860418748783e-06
39,13,Feedforward Loop,-1.5391170527399769e-07,-8.439383236691356e-08,1.0361306421043158e-05
39,13,Feedback Loop,4.144687274539912e-07,-5.505280569195747e-07,8.31994406733574e-06
39,13,Single Input Module,-8.329231658375219e-07,-1.3718381524086e-06,3.109632652975417e-06
40,13,Cascade,7.407088646493075e-09,0.0,1.1504843531441768e-06
40,13,Feedforward Loop,1.7382559205407987e-08,0.0,1.819662042678241e-06
40,13,Feedback Loop,-4.005732652903707e-07,0.0,1.2656485070236205e-06
40,13,Single Input Module,-1.2585523483507773e-07,0.0,9.184602883093301e-07
41,13,Cascade,0.0,0.0,0.0
41,13,Feedforward Loop,1.3959973867850829e-07,0.0,4.784755136818489e-06
41,13,Feedback Loop,0.0,0.0,0.0
41,13,Single Input Module,0.0,0.0,0.0
42,13,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
42,13,Feedforward Loop,-1.7136162660019803e-07,0.0,1.0263819741298745e-05
42,13,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
42,13,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
43,13,Cascade,0.0,0.0,0.0
